grid_gid,epdo_total,is_high_risk,risk_prob,predicted_risk
다사651451,170.0,1,0.7459,1
다사660464,31.0,0,0.4844,0
다사650446,32.0,0,0.4869,0
다사671459,231.0,1,0.744,1
다사662453,162.0,1,0.6845,1
다사626463,48.0,0,0.6755,1
다사737511,48.0,0,0.6128,1
다사726482,424.0,1,0.6888,1
다사727520,162.0,1,0.5601,1
다사737488,109.0,1,0.5105,1
다사724512,292.0,1,0.7865,1
다사721500,99.0,1,0.5088,1
다사760488,109.0,1,0.5766,1
다사722519,170.0,1,0.5675,1
다사580122,87.0,1,0.6933,1
다사620105,160.0,1,0.6877,1
다사613150,41.0,0,0.6644,1
다사609120,48.0,0,0.063,0
다사643111,39.0,0,0.5675,1
다사542113,170.0,1,0.5675,1
다사606134,48.0,0,0.6888,1
다사622121,41.0,0,0.3935,0
다사431144,109.0,1,0.6888,1
다사651082,38.0,0,0.7083,1
다사643116,48.0,0,0.5408,1
다사513138,48.0,0,0.2476,0
다사476037,46.0,0,0.2817,0
다사624133,30.0,0,0.4844,0
다사643109,40.0,0,0.6911,1
다사557112,102.0,1,0.4844,0
다사586121,162.0,1,0.6697,1
다사664329,101.0,1,0.6888,1
다사653280,32.0,0,0.4776,0
다사678306,101.0,1,0.5723,1
다사663317,94.0,1,0.4844,0
다사653266,86.0,1,0.6888,1
다사649304,38.0,0,0.3607,0
다사657321,40.0,0,0.6051,1
다사666279,162.0,1,0.2476,0
다사670346,34.0,0,0.6888,1
다사657325,101.0,1,0.5065,1
다사654309,38.0,0,0.4211,0
다사647273,38.0,0,0.6888,1
다사661261,40.0,0,0.3148,0
다사660320,40.0,0,0.6888,1
다사648314,101.0,1,0.6888,1
다사653274,101.0,1,0.4211,0
다사665341,79.0,1,0.4173,0
다사657328,40.0,0,0.6888,1
다사651279,32.0,0,0.5851,1
다사677312,101.0,1,0.2476,0
다사653304,93.0,1,0.5157,1
다사653281,94.0,1,0.6888,1
다사665324,33.0,0,0.4211,0
다사704401,155.0,1,0.4031,0
다사691382,33.0,0,0.6567,1
다사645348,423.0,1,0.5723,1
다사684382,97.0,1,0.3605,0
다사678408,31.0,0,0.3503,0
다사648362,36.0,0,0.4123,0
다사674372,162.0,1,0.6888,1
다사693381,101.0,1,0.4844,0
다사702381,40.0,0,0.2476,0
다사695383,33.0,0,0.496,0
다사704371,40.0,0,0.2803,0
다사705386,24.0,0,0.4211,0
다사708347,40.0,0,0.6888,1
다사671365,86.0,1,0.6888,1
다사684376,94.0,1,0.6888,1
다사700378,93.0,1,0.5296,1
다사656457,94.0,1,0.5881,1
다사656446,26.0,0,0.3992,0
다사665432,26.0,0,0.4031,0
다사629457,94.0,1,0.5561,1
다사653451,155.0,1,0.6947,1
다사674418,40.0,0,0.6888,1
다사669445,40.0,0,0.7506,1
다사680449,92.0,1,0.772,1
다사676444,94.0,1,0.744,1
다사660463,87.0,1,0.5896,1
다사682418,40.0,0,0.5197,1
다사626464,40.0,0,0.3126,0
다사661445,606.0,1,0.7821,1
다사670414,40.0,0,0.6888,1
다사661436,484.0,1,0.5969,1
다사645460,38.0,0,0.3126,0
다사671418,33.0,0,0.6888,1
다사619463,94.0,1,0.5675,1
다사695439,40.0,0,0.2751,0
다사631456,99.0,1,0.6888,1
다사662432,416.0,1,0.7854,1
다사649455,33.0,0,0.5982,1
다사657457,24.0,0,0.7728,1
다사669436,94.0,1,0.7762,1
다사674465,40.0,0,0.5561,1
다사664444,31.0,0,0.4976,0
다사654452,40.0,0,0.4844,0
다사640457,40.0,0,0.6755,1
다사620458,38.0,0,0.4844,0
다사657445,477.0,1,0.6615,1
다사689447,33.0,0,0.789,1
다사681440,25.0,0,0.6755,1
다사668424,40.0,0,0.6888,1
다사626451,162.0,1,0.6941,1
다사674452,92.0,1,0.7421,1
다사647471,94.0,1,0.6888,1
다사629452,99.0,1,0.7723,1
다사660475,31.0,0,0.5589,1
다사666486,101.0,1,0.7239,1
다사684418,101.0,1,0.6755,1
다사626465,99.0,1,0.2476,0
다사647460,160.0,1,0.6451,1
다사664480,87.0,1,0.7685,1
다사687443,79.0,1,0.7594,1
다사726519,99.0,1,0.4735,0
다사693454,40.0,0,0.775,1
다사690458,40.0,0,0.6888,1
다사741491,153.0,1,0.6317,1
다사728517,87.0,1,0.7183,1
다사725520,154.0,1,0.5675,1
다사740488,162.0,1,0.4021,0
다사728514,40.0,0,0.73,1
다사727497,101.0,1,0.5408,1
다사721501,38.0,0,0.4828,0
다사739489,93.0,1,0.6666,1
다사723514,94.0,1,0.4844,0
다사689463,162.0,1,0.6888,1
다사644109,162.0,1,0.5766,1
다사472032,99.0,1,0.6888,1
다사661081,101.0,1,0.5675,1
다사589127,40.0,0,0.6623,1
다사589118,31.0,0,0.6911,1
다사592126,32.0,0,0.4497,0
다사626132,99.0,1,0.1698,0
다사619119,38.0,0,0.559,1
다사535136,40.0,0,0.5675,1
다사640067,87.0,1,0.5706,1
다사594129,25.0,0,0.5723,1
다사569119,162.0,1,0.6378,1
다사485036,101.0,1,0.4031,0
다사481019,38.0,0,0.5561,1
다사655121,162.0,1,0.7054,1
다사645098,26.0,0,0.5561,1
다사664093,101.0,1,0.6888,1
